dataset,strategy,fit_method,accuracy,brier_score,time,num_rules,num_preds,trial_count
Nursery,round_robin,FOLD-RM (fit),0.0,0.7499617381836035,0.24205541610717773,2,6,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.23352527618408203,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.2502307891845703,2,7,30
Nursery,round_robin,FOLD-RM (fit),0.0,0.75,0.21702289581298828,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.00038580246913580245,0.750018325617284,0.2566673755645752,1,6,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.26128435134887695,1,8,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7499594907407408,0.25569796562194824,1,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.34529638290405273,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7499797453703704,0.291109561920166,1,6,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.3357062339782715,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7499234763672068,0.2722890377044678,1,5,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.34485840797424316,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.3611021041870117,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.3457362651824951,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7499617381836035,0.33042168617248535,1,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7499617381836035,0.3296957015991211,1,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.3773157596588135,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7498469527344136,0.32216405868530273,1,5,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.39116430282592773,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.36385059356689453,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7499234763672069,0.3672165870666504,2,6,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7499617381836035,0.30060911178588867,1,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.3589804172515869,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.00038580246913580245,0.750018325617284,0.29027223587036133,1,6,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.3635220527648926,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.00038580246913580245,0.7499980709876544,0.25078487396240234,1,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.33257365226745605,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.75,0.3493824005126953,2,7,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7499617381836035,0.30632829666137695,2,6,30
Nursery,round_robin,CON-FOLD (confidence_fit),0.0,0.7499617381836035,0.26938295364379883,1,7,30
